Industry,2024_01_total,2024_02_total,2024_03_total,2024_04_total,2024_05_total
Technology,2477.20,2530.80,2599.50,2596.40,2679.80
"Finance and Investments",1882.40,1928.70,1995.10,2039.10,2040.10
"Fashion and Retail",1829.40,1904.90,1934.30,1922.70,1961.20
Diversified,978.20,1007.70,997.50,1094.70,1107.40
"Food and Beverage",959.60,966.90,974.60,1022.50,1004.40
Manufacturing,826.30,866.70,872.10,927.60,922.80
Healthcare,653.40,677.90,680.20,696.30,701.00
"Real Estate",645.50,651.20,653.60,666.80,673.40
Automotive,517.60,561.50,551.40,555.40,566.20
Energy,501.70,520.90,536.60,556.20,542.40
"Media and Entertainment",426.40,443.80,459.70,486.30,497.80
"Metals and Mining",405.10,421.10,433.10,460.60,469.10
Logistics,243.60,256.80,261.70,291.80,299.50
Telecom,216.40,221.70,234.90,227.60,233.50
Service,153.70,156.20,157.70,155.70,154.40
Sports,138.00,138.30,144.00,142.60,143.10
"Construction and Engineering",129.50,133.60,139.10,145.90,148.90
"Gambling and Casinos",126.20,127.60,121.20,117.80,120.50
,NULL,NULL,NULL,4.20,2.10
transportation,NULL,NULL,NULL,NULL,NULL
