Continent,Country_of_residence,2021_total,2022_total,2023_total
"North America",USA,4449.50,4734.90,4566.10
Asia,China,3127.80,2456.05,2104.50
Asia,India,578.00,710.80,635.30
Europe,Germany,558.50,520.30,477.30
Europe,Russia,483.50,247.00,422.40
Europe,France,411.20,455.80,496.50
Europe,UK,405.80,382.40,387.40
Europe,Switzerland,294.50,343.60,375.30
Asia,Japan,221.00,146.70,147.80
Europe,Italy,195.20,192.50,213.60
Australia,Australia,173.00,192.10,172.40
"North America",Canada,163.30,193.50,190.00
Asia,Singapore,157.40,107.30,124.50
"South America",Brazil,156.90,146.90,104.80
Europe,Spain,137.90,114.90,136.40
"North America",Mexico,136.10,160.90,168.90
Asia,"South Korea",123.30,119.90,86.40
Europe,Sweden,118.00,114.80,92.10
Asia,Thailand,105.00,94.70,100.70
Asia,Taiwan,104.30,201.40,136.90
Asia,Indonesia,75.10,103.80,125.00
Europe,Austria,67.40,69.00,76.00
Asia,Israel,65.20,79.20,73.60
Europe,Monaco,61.80,59.20,61.10
Europe,Denmark,60.20,57.30,40.90
Asia,Malaysia,54.60,53.10,40.10
Asia,Turkey,44.20,32.30,45.80
Asia,Philippines,42.20,44.20,41.40
Asia,"United Arab Emirates",41.20,37.50,39.30
"South America",Chile,39.00,35.70,36.40
Europe,"Czech Republic",38.70,44.20,51.10
Europe,Norway,27.90,30.40,27.10
Europe,Netherlands,27.10,22.80,25.90
Africa,Nigeria,22.50,28.20,28.50
Asia,Kazakhstan,22.20,21.70,26.30
Africa,"South Africa",22.10,25.00,25.60
Europe,Ukraine,18.90,10.90,12.60
Europe,Poland,18.70,19.40,20.20
Asia,Vietnam,16.70,21.20,12.60
Africa,Egypt,16.60,16.20,17.10
Europe,Finland,16.50,12.60,14.00
Europe,Ireland,13.90,13.90,19.00
"South America",Argentina,12.00,12.10,11.00
"South America",Peru,11.40,7.80,5.50
"South America",Colombia,11.00,9.90,6.40
Australia,"New Zealand",9.80,12.00,10.10
Europe,Turkey,9.00,6.10,9.90
"North America","Cayman Islands",7.10,7.20,7.00
Europe,Liechtenstein,5.50,2.30,2.30
Asia,Lebanon,5.00,6.40,5.60
"North America",Bermuda,5.00,3.50,4.60
Asia,Georgia,4.80,4.80,4.90
Africa,Algeria,4.80,5.10,4.60
"North America","British Virgin Islands",4.80,4.70,3.40
Europe,Portugal,4.70,4.70,4.70
Africa,Eswatini,4.70,5.30,6.50
Asia,Cambodia,4.60,2.60,2.80
Asia,Phillipines,3.40,NULL,NULL
"South America",Uruguay,3.30,4.90,1.80
Africa,Morocco,3.20,3.30,2.80
Asia,Qatar,2.90,3.30,3.00
Europe,Slovakia,2.90,3.00,3.10
Europe,Belgium,2.70,2.30,8.90
Europe,Hungary,2.70,2.50,3.90
Europe,Guernsey,2.60,2.50,2.30
Asia,Oman,2.30,2.50,4.30
"South America",Columbia,2.30,NULL,NULL
Europe,USA,2.30,NULL,NULL
"North America","Turks and Caicos Islands",2.10,2.20,2.00
Australia,Bahamas,2.00,2.20,2.20
Europe,Romania,1.70,6.30,7.20
Africa,Tanzania,1.60,1.50,1.50
Asia,Nepal,1.40,1.50,1.80
Asia,Bahrain,1.40,1.50,1.50
Europe,Greece,1.40,1.40,10.60
,,1.30,NULL,NULL
Europe,China,1.20,NULL,NULL
Asia,Armenia,1.00,NULL,1.20
"North America",Belize,NULL,3.60,3.90
Europe,Bulgaria,NULL,4.00,4.20
Europe,Cyprus,NULL,NULL,9.80
"North America",Barbados,NULL,1.70,1.40
Europe,Estonia,NULL,1.20,1.30
Asia,Bangladesh,NULL,NULL,1.00
"South America",Panama,NULL,NULL,1.00
Europe,"France ",NULL,NULL,NULL
