Country_of_residence,2022_total,2023_total,2024_01_total,2024_02_total,2024_03_total,2024_04_total
USA,4739.20,4570.50,5486.90,5624.40,5725.00,5759.30
China,2457.55,2104.50,1586.70,1728.30,1719.30,1827.30
India,718.50,635.30,865.00,898.00,886.40,932.30
Germany,520.30,477.30,523.70,538.90,536.40,546.40
France,455.80,496.50,512.60,534.30,528.50,513.70
UK,382.40,387.40,398.20,395.90,408.20,413.20
Switzerland,343.60,358.60,364.00,371.40,394.30,407.80
Russia,249.10,430.80,448.50,456.60,461.60,494.90
Taiwan,201.40,136.90,142.00,146.60,172.90,174.10
Canada,193.50,190.00,216.30,218.40,216.00,225.70
Italy,192.50,213.60,221.50,229.60,245.60,279.20
Australia,192.10,172.40,195.60,191.30,192.00,192.80
Mexico,160.90,168.90,181.70,182.70,190.30,202.40
Brazil,148.50,117.00,141.10,145.90,152.40,159.70
Japan,146.70,147.80,158.00,163.50,171.50,158.30
"South Korea",119.90,86.40,89.40,94.40,103.60,97.60
Spain,114.90,136.40,170.80,173.40,186.30,179.10
Sweden,114.80,92.10,104.30,108.30,100.20,107.20
Singapore,107.30,124.50,130.40,125.00,129.20,132.50
Indonesia,103.80,125.00,159.70,166.70,162.70,192.80
Thailand,94.70,100.70,81.40,80.10,81.50,81.10
Israel,77.10,71.60,77.30,78.70,82.70,89.10
Austria,69.00,76.00,75.10,75.50,76.80,76.10
Monaco,59.20,54.70,56.70,56.50,62.40,64.10
Denmark,57.30,40.90,42.00,41.20,48.30,47.10
Malaysia,53.10,40.10,39.30,38.50,38.60,38.80
"Czech Republic",44.20,51.10,50.80,50.50,55.10,54.70
Philippines,44.20,41.40,42.40,46.30,48.20,46.00
Turkey,38.40,55.70,44.50,43.90,52.40,57.30
"United Arab Emirates",37.50,39.30,37.70,37.70,42.10,50.00
Chile,35.70,36.40,36.30,35.00,37.20,38.50
Norway,30.40,27.10,28.30,28.50,29.30,28.50
Nigeria,28.20,28.50,30.50,26.40,30.00,28.40
"South Africa",25.00,25.60,28.40,28.60,28.30,27.90
Netherlands,22.80,25.90,27.80,29.00,28.90,25.20
Kazakhstan,21.70,26.30,28.90,30.20,31.40,31.30
Vietnam,21.20,12.60,12.10,14.00,14.00,13.30
Poland,19.40,20.20,22.50,23.10,22.00,24.80
Egypt,16.20,17.10,18.30,18.20,18.40,18.60
Ireland,13.90,19.00,21.40,22.60,22.80,22.60
Finland,12.60,14.00,14.40,14.40,14.80,15.30
Argentina,12.10,11.00,15.70,14.20,15.20,14.70
"New Zealand",12.00,10.10,11.00,12.10,12.00,12.10
Ukraine,10.90,12.60,12.60,12.50,9.30,9.30
Colombia,9.90,10.90,16.80,18.10,18.80,18.00
Peru,7.80,5.50,5.50,6.10,1.00,1.10
"Cayman Islands",7.20,7.00,6.90,6.90,7.00,7.00
Lebanon,6.40,5.60,5.20,5.10,5.60,5.60
Romania,6.30,7.20,7.20,7.20,7.80,7.80
Eswatini,5.30,6.50,6.10,6.10,7.10,6.90
Algeria,5.10,4.60,2.50,2.50,2.50,2.50
Uruguay,4.90,1.80,4.20,4.20,6.90,6.10
Georgia,4.80,4.90,4.90,4.90,4.90,4.90
Portugal,4.70,4.70,5.30,5.70,5.80,6.50
"British Virgin Islands",4.70,3.40,2.90,2.90,2.00,2.60
Bulgaria,4.00,4.20,4.20,4.20,4.20,4.20
Belize,3.60,3.90,2.50,4.80,5.00,4.80
Bermuda,3.50,4.60,4.90,4.80,4.80,4.80
Morocco,3.30,2.80,3.00,3.00,3.00,3.00
Qatar,3.30,3.00,3.10,3.00,3.70,3.70
Slovakia,3.00,3.10,3.20,3.60,3.40,3.40
Cambodia,2.60,2.80,NULL,NULL,NULL,NULL
Guernsey,2.50,2.30,2.40,2.50,2.50,2.50
Oman,2.50,4.30,3.80,4.10,4.80,4.70
Hungary,2.50,3.90,4.60,4.50,4.50,5.30
Liechtenstein,2.30,2.30,2.40,1.50,1.50,1.50
Belgium,2.30,8.90,9.20,9.10,8.80,22.40
"Turks and Caicos Islands",2.20,2.00,2.00,2.00,2.00,2.00
Bahamas,2.20,2.20,2.00,2.30,2.20,2.20
Barbados,1.70,1.40,1.40,1.40,1.40,1.40
Nepal,1.50,1.80,1.80,1.80,1.80,1.80
Tanzania,1.50,1.50,1.80,1.80,1.80,1.80
Bahrain,1.50,1.50,1.50,1.50,1.50,1.50
Greece,1.40,10.60,11.10,11.50,12.40,16.90
Estonia,1.20,1.30,3.10,3.40,2.20,1.80
Cyprus,NULL,9.80,25.40,27.00,22.40,25.40
Armenia,NULL,1.20,1.20,1.10,1.10,1.10
Bangladesh,NULL,1.00,1.10,1.10,1.10,1.10
Panama,NULL,1.00,1.10,1.10,1.10,1.10
"France ",NULL,NULL,NULL,NULL,NULL,14.00
,NULL,NULL,NULL,NULL,NULL,3.20
